breed,wikipedia_url,description,thumbnail_path
Cane Corso,https://en.wikipedia.org/wiki/Cane_Corso,"The Cane Corso is an Italian breed of mastiff. It is usually kept as a companion dog or guard dog; it may also be used to protect livestock. In the past it was used for hunting large game, and also to herd cattle.",cane corso.jpg
Spaniels (English Springer),https://en.wikipedia.org/wiki/English_Water_Spaniel,"The English Water Spaniel is a breed of dog that has been extinct since the first part of the 20th century, with the last specimen seen in the 1930s. It was best known for its use in hunting waterfowl and for being able to dive as well as a duck. It is described as  similar to a Collie or to a cross between a Poodle and a Springer Spaniel with curly fur and typically in a white and liver/tan pattern.",spaniels (english springer).jpg
Shetland Sheepdogs,https://en.wikipedia.org/wiki/Shetland_Sheepdog,"The Shetland Sheepdog, also known as the Sheltie, is a breed of herding dog that originated in the Shetland Islands of Scotland. It was formally recognized by the Kennel Club in 1909. It was originally called the Shetland Collie, but this caused controversy amongst Rough Collie breeders of the time, so the name was changed. It is a small dog, clever, vocal, willing to please, and trustworthy.",shetland sheepdogs.jpg
Brittanys,https://en.wikipedia.org/wiki/Brittany_(dog),"The Brittany Spaniel or Breton Spaniel (French: Épagneul Breton) is a French breed of gun dog of spaniel type, bred primarily for bird hunting.",
Pugs,https://en.wikipedia.org/wiki/Pug,"The Pug is a breed of dog with the physically distinctive features of a wrinkly, short-muzzled face, and curled tail. An ancient breed, with roots dating back to 400 B.C., they have a fine, glossy coat that comes in a variety of colors, most often fawn (light brown) or black, and a compact, square body with well developed and thick muscles all over the body.",pugs.jpg
Spaniels (Cocker),,,
Miniature American Shepherds,https://en.wikipedia.org/wiki/Miniature_American_Shepherd,"The Miniature American Shepherd, frequently abbreviated MAS, is a small herding dog breed. The MAS is highly intelligent and biddable. The breed is often trained for dog sports such as herding, agility, obedience, canine freestyle, flyball, and others. The Miniature American Shepherd was recognised by the American Kennel Club (AKC) in 2015 and is the club's 186th breed. In September 2019, the Fédération Cynologique Internationale (FCI) officially accepted the breed.",miniature american shepherds.jpg
Border Collies,,,
Mastiffs,https://en.wikipedia.org/wiki/Mastiff,"A mastiff is a large and powerful type of dog. Mastiffs are among the largest dogs, and typically have a short coat, a long low-set tail and large feet; the skull is large and bulky, the muzzle broad and short (brachycephalic) and the ears drooping and pendant-shaped. European and Asian records dating back 3,000 years show dogs of the mastiff type. Mastiffs have historically been guard dogs, protecting homes and property, although throughout history they have been used as hunting dogs, war dogs and for blood sports, such as fighting each other and other animals, including bulls, bears and even lions.",mastiffs.jpg
Chihuahuas,https://en.wikipedia.org/wiki/Chihuahua_(dog),The Chihuahua (or Spanish: Chihuahueño) is a Mexican breed of toy dog. It is named for the Mexican state of Chihuahua and is the smallest dog breed in the world. It is usually kept as a companion animal.,
Vizslas,https://en.wikipedia.org/wiki/Vizsla,"The Vizsla (Hungarian: [ˈviʒlɒ]), also known as Hungarian Vizsla, Magyar Vizsla or Hungarian Pointer, is a dog breed from Hungary and belongs to the Fédération Cynologique Internationale (FCI) group 7 (Pointing Dogs), the Canadian Kennel Club (CKC) group 1 (Sporting group), and the American Kennel Club (Sporting group). The Hungarian or Magyar Vizsla or Smooth-Haired Vizsla are sporting dogs and loyal companions. The Vizsla's medium size is one of the breed's most appealing characteristics. As a hunter of fowl and upland game, the Vizsla has held a prominent position among sporting dogs – that of household companion and family dog.",vizslas.jpg
Basset Hounds,https://en.wikipedia.org/wiki/Basset_Hound,The Basset Hound is a short-legged breed of dog in the hound family. The Basset is a scent hound that was originally bred for the purpose of hunting hare. Their sense of smell and ability to ground-scent is second only to the Bloodhound.,basset hounds.jpg
Belgian Malinois,,,
Maltese,https://en.wikipedia.org/wiki/Maltese_dog,"Maltese dog refers both to an ancient variety of dwarf, white-coated dog breed from Italy and generally associated also with the island of Malta, and to a modern breed of similar dogs in the toy group, genetically related to the Bichon, Bolognese, and Havanese breeds. The precise link, if any, between the modern and ancient breeds is not known. Nicholas Cutillo suggested that Maltese dogs might descend from spitz-type canines, and that the ancient variety probably was similar to the latter Pomeranian breeds with their short snout, pricked ears, and bulbous heads. These two varieties, according to Stanley Coren, were perhaps the first dogs employed as human companions.",maltese.jpg
Weimaraners,https://en.wikipedia.org/wiki/Weimaraner,"The Weimaraner is a German breed of hunting dog of medium to large size, with history going back at least to the nineteenth century.",weimaraners.jpg
Collies,,,
Newfoundlands,https://en.wikipedia.org/wiki/Newfoundland_dog,"The Newfoundland is a large breed of working dog. They can be black, grey, brown, or black and white. However, in the Dominion of Newfoundland, before it became part of the confederation of Canada, only black and Landseer (white-and-black) coloured dogs were considered to be proper members of the breed. They were originally bred and used as working dogs for fishermen in Newfoundland.",newfoundlands.jpg
Rhodesian Ridgebacks,https://en.wikipedia.org/wiki/Rhodesian_Ridgeback,"The Rhodesian Ridgeback is a large dog breed originally bred in Southern Africa. The original breed standard was drafted by F.R. Barnes, in Bulawayo, Southern Rhodesia (now Zimbabwe), in 1922, and approved by the South African Kennel Union in 1927. Its forebears can be traced to the ridged hunting and guardian dogs of the Khoikhoi. These were interbred with European dogs by the early colonists of the Cape Colony for assisting in the hunting of lions.",rhodesian ridgebacks.jpg
Shiba Inu,https://en.wikipedia.org/wiki/Shiba_Inu,"The Shiba Inu (柴犬, Shiba Inu, Japanese: [ɕiba inɯ]) is a breed of hunting dog from Japan. A small-to-medium breed, it is the smallest of the six original dog breeds native to Japan. Its name literally translates to ""brushwood dog"", as it is used to flush game.",shiba inu.jpg
West Highland White Terriers,https://en.wikipedia.org/wiki/West_Highland_White_Terrier,"The West Highland White Terrier (commonly shortened to Westie) is a breed of dog from Scotland with a distinctive white harsh coat and somewhat soft white undercoat. It is a medium-sized terrier, though with longer legs than other Scottish terriers. It has a white double coat of fur which fills out the dog's face, giving it a rounded appearance.",west highland white terriers.jpg
Bichons Frises,,,
Bloodhounds,https://en.wikipedia.org/wiki/Bloodhound,"The bloodhound is a large scent hound, originally bred for hunting deer, wild boar, rabbits, and since the Middle Ages, for tracking people.  Believed to be descended from hounds once kept at the Abbey of Saint-Hubert, Belgium, in French it is called, le chien de Saint-Hubert.",bloodhounds.jpg
Spaniels (English Cocker),https://en.wikipedia.org/wiki/English_Water_Spaniel,"The English Water Spaniel is a breed of dog that has been extinct since the first part of the 20th century, with the last specimen seen in the 1930s. It was best known for its use in hunting waterfowl and for being able to dive as well as a duck. It is described as  similar to a Collie or to a cross between a Poodle and a Springer Spaniel with curly fur and typically in a white and liver/tan pattern.",spaniels (english cocker).jpg
Akitas,https://en.wikipedia.org/wiki/Akita_(dog),"The Akita (秋田, Akita, Japanese pronunciation: [akʲita]) is a Japanese  dog breed of large size. Originating from the mountains of northern Japan, the Akita has a short double coat similar to that of many other northern spitz breeds. Historically, they were used by matagi for guarding and the hunting of bears.",
Portuguese Water Dogs,https://en.wikipedia.org/wiki/Portuguese_Water_Dog,"The Portuguese Water Dog originated from the Algarve region of Portugal. From there the breed expanded to all around Portugal's coast, where they were taught to herd fish into fishermen's nets, retrieve lost tackle or broken nets, and act as couriers from ship to ship, or ship to shore.",portuguese water dogs.jpg
Retrievers (Chesapeake Bay),https://en.wikipedia.org/wiki/Chesapeake_Bay_Retriever,"The Chesapeake Bay Retriever is a large breed of dog belonging to the retriever, gundog, and sporting breed groups. The breed was developed in the United States Chesapeake Bay area during the 19th century. Historically used by local market hunters to retrieve waterfowl, pull fishing nets, and rescue fishermen, it is today primarily a family pet and hunting companion, known for a bright and happy disposition; courage; willingness to work; alertness; intelligence; love of water; and hunting capabilities. The Chesapeake is a medium- to large-sized dog similar in appearance to the Labrador Retriever, but with a wavy coat.",retrievers (chesapeake bay).jpg
Dalmatians,https://en.wikipedia.org/wiki/Dalmatian_(dog),"The Dalmatian is a breed of dog with a white coat marked with dark-coloured spots. Originally bred as a hunting dog, it was also used as a carriage dog in its early days. The origins of this breed can be traced back to Croatia and its historical region of Dalmatia. It is thought that early ancestors of the breed were certain breeds of pointers and a spotted Great Dane. Today, it is a popular pet and many enthusiasts enter Dalmatians into kennel club competitions.",
St. Bernards,https://en.wikipedia.org/wiki/St._Bernard_(dog),"The St. Bernard or Saint Bernard (UK: , US: ) is a breed of very large working dog from the Western Alps in Italy and Switzerland. They were originally bred for rescue work by the hospice of the Great St Bernard Pass on the Italian-Swiss border. The hospice, built by and named after the Alpine monk Saint Bernard of Menthon,",
Papillons,https://en.wikipedia.org/wiki/Papillon_dog,"The Papillon (French pronunciation: [papijɔ̃], French for 'butterfly[-eared]'), also called the Continental Toy Spaniel, is a breed of dog, of the spaniel type. One of the oldest of the toy spaniels, it derives its name from its characteristic butterfly-like look of the long and fringed hair on the ears. A Papillon with dropped ears is called a Phalene.",papillons.jpg
Australian Cattle Dogs,https://en.wikipedia.org/wiki/Australian_Cattle_Dog,"The Australian Cattle Dog, or simply Cattle Dog, is a breed of herding dog developed in Australia for droving cattle over long distances across rough terrain. This breed is a medium-sized, short-coated dog that occurs in two main colour forms. It has either red or black hair distributed fairly evenly through a white coat, which gives the appearance of a ""red"" or ""blue"" dog.",australian cattle dogs.jpg
Bullmastiffs,https://en.wikipedia.org/wiki/Bullmastiff,"The Bullmastiff is an English breed of dog of mastiff type and large size, with a solid build and a short muzzle. It was developed as a guard dog in the nineteenth century by cross-breeding the English Mastiff with the now-extinct Old English Bulldog. It was recognised as a breed by The Kennel Club in 1924.",bullmastiffs.jpg
Samoyeds,https://en.wikipedia.org/wiki/Samoyed_dog,"The Samoyed ( SAM-ə-yed or  sə-MOY-ed; Russian: самое́дская соба́ка, romanized: samoyédskaya sobáka, or самое́д, samoyéd) is a breed of medium-sized herding dogs with thick, white, double-layer coats. They are spitz-type dogs which take their name from the Samoyedic peoples of Siberia. Descending from the Nenets Herding Laika, they are domesticated animals that assist in herding, hunting, protection and sled-pulling.",samoyeds.jpg
Scottish Terriers,https://en.wikipedia.org/wiki/Scottish_Terrier,"The Scottish Terrier (Scottish Gaelic: Abhag Albannach; also known as the Aberdeen Terrier), popularly called the Scottie, is a breed of dog. Initially one of the highland breeds of terrier that were grouped under the name of Skye Terrier, it is one of five breeds of terrier that originated in Scotland, the other four being the modern Skye, Cairn, Dandie Dinmont, and West Highland White terriers. They are an independent and rugged breed with a wiry outer coat and a soft dense undercoat. The first Earl of Dumbarton nicknamed the breed ""the diehard"". According to legend, the Earl of Dumbarton gave this nickname because of the Scottish Terriers' bravery, and Scotties were also the inspiration for the name of his regiment, The Royal Scots, Dumbarton's Diehard. Scottish Terriers were originally bred to hunt vermin on farms.",scottish terriers.jpg
Soft Coated Wheaten Terriers,,,
Whippets,https://en.wikipedia.org/wiki/Whippet,"The whippet is a British breed of medium-sized dog, of the sighthound type, related to the larger greyhound and the smaller Italian greyhound. Apart from the differences in height, the whippet closely resembles these two breeds; it has sometimes been described as ""miniature greyhound"", and casually referred to as ""the poor man's racehorse"". It is kept as a companion dog, for competitive showing, as well as for amateur racing. Whippet also participate in dog sports such as lure coursing, agility, and flyball. It has the highest running-speed of any breed in its weight and size range, and may have the fastest idle-to-running acceleration of any dog. Whippet is known for its gentle, affectionate, and calm temperament, being relaxed and serene at home while showing high energy and excitement outdoors.",whippets.jpg
Pointers (German Wirehaired),,,
Chinese Shar-Pei,,,
Airedale Terriers,https://en.wikipedia.org/wiki/Airedale_Terrier,"The Airedale Terrier (often shortened to ""Airedale""), also called Bingley Terrier and Waterside Terrier, is a dog breed of the terrier type that originated in the valley (dale) of the River Aire, in the West Riding of Yorkshire, England. It is traditionally called the ""King of Terriers"" because it is the largest of the terrier breeds. The Airedale was bred from the Old English Black and Tan Terrier and the Otterhound and probably some other Terrier breeds, and has contributed to other dog breeds, such as the Yorkshire Terrier.",airedale terriers.jpg
Wirehaired Pointing Griffons,https://en.wikipedia.org/wiki/Wirehaired_Pointing_Griffon,"The Wirehaired Pointing Griffon (also called the Korthals  Griffon and the Griffon d'arrêt à poil dur Korthals in France and Quebec) is a breed of dog used in hunting as a gundog.  It is sometimes considered to be Dutch in ancestry, due to the nationality of the breed founder, Eduard Karel Korthals.  History records the progression of the development of the breed through Biebesheim am Rhein, Germany where the founder established the Ipenwoud kennel and the breed type was established and then into France where it is now recognized.  Others consider the Griffon to be a German breed because Korthals' kennel, Ipenwoud, was located in Biebesheim am Rhein, Germany.  It was there for over twenty years that Korthals dedicated his life to the development  and perfection of the Korthals Griffon.",wirehaired pointing griffons.jpg
Bull Terriers,https://en.wikipedia.org/wiki/American_Pit_Bull_Terrier,"The American Pit Bull Terrier (APBT) is a dog breed recognized by the United Kennel Club (UKC) and the American Dog Breeders Association (ADBA), but not the American Kennel Club (AKC). It is a medium-sized, short-haired dog, of a solid build, whose early ancestors came from England. When compared with the English Staffordshire Bull Terrier, the American Pit Bull Terrier is larger by margins of 6–8 inches (15–20 cm) in height and 25–35 pounds (11–16 kg) in weight. The American Pit Bull Terrier varies in size: males are normally about 18–21 inches (45–53 cm) in height and around 35–60 pounds (15–27 kg) in weight, while females are normally around 17–20 inches (43–50 cm) in height and 30–50 pounds (13–22 kg) in weight.",bull terriers.jpg
Alaskan Malamutes,,,
Cardigan Welsh Corgis,https://en.wikipedia.org/wiki/Cardigan_Welsh_Corgi,"The Cardigan Welsh corgi (; Welsh for ""dwarf dog"") is one of two different varieties of livestock-herding dog breeds known as Welsh corgis (originating in Wales), with the other being the Pembroke Welsh corgi. It is one of the oldest breeds of the British Isles. Cardigan Welsh corgis are known to be an extremely loyal and trainable dog breed, naturally attuned to herding many different animals, from poultry and waterfowl to large livestock such as sheep and cattle. They are also versatile and can live in a variety of settings.",cardigan welsh corgis.jpg
Giant Schnauzers,https://en.wikipedia.org/wiki/Giant_Schnauzer,"The Giant Schnauzer is a breed of dog developed in the 17th century in Germany. It is the largest of the three breeds of Schnauzer—the other two breeds being the Standard Schnauzer and the Miniature Schnauzer. Originally bred to assist on farms by driving livestock to market and guarding the farmer's property, the breed eventually moved into the city, where it worked guarding breweries, butchers' shops, stockyards and factories. It was unknown outside of Bavaria until it became popular as a military dog during World War I and World War II.",giant schnauzers.jpg
Old English Sheepdogs,https://en.wikipedia.org/wiki/Old_English_Sheepdog,The Old English Sheepdog is a large breed of dog that emerged in England from early types of herding dog. Obsolete names for the breed include Shepherd's Dog and bob-tailed sheep-dog. The nickname Bob-tail (or Bobtail) originates from how dogs of the breed traditionally had their tails docked. Old English Sheepdogs can grow very long coats with fur covering the face and eyes and do not shed unless brushed.,old english sheepdogs.jpg
Italian Greyhounds,https://en.wikipedia.org/wiki/Italian_Greyhound,"The Italian Greyhound or Italian Sighthound (Italian: Piccolo levriero Italiano) is an Italian breed of small sighthound. It was bred to hunt hare and rabbit, but is kept mostly as a companion dog.",italian greyhounds.jpg
Great Pyrenees,,,
Dogues de Bordeaux,,,
Russell Terriers,https://en.wikipedia.org/wiki/Jack_Russell_Terrier,"The Jack Russell Terrier is a British breed of small terrier. It is principally white-bodied and smooth-, rough- or broken-coated, and can be any colour.",russell terriers.jpg
Cairn Terriers,https://en.wikipedia.org/wiki/Cairn_Terrier,The Cairn Terrier is a terrier breed originating in the Scottish Highlands and recognised as one of Scotland's earliest working dogs.,cairn terriers.jpg
Irish Wolfhounds,https://en.wikipedia.org/wiki/Irish_Wolfhound,"The Irish Wolfhound is a breed of large sighthound that has, by its presence and substantial size, inspired literature, poetry and mythology. One of the largest of all breeds of dog, the breed is used by coursing hunters who have prized it for its ability to dispatch game caught by other, swifter sighthounds. In 1902, the Irish Wolfhound was declared the regimental mascot of the Irish Guards.",irish wolfhounds.jpg
Setters (Irish),,,
Greater Swiss Mountain Dogs,https://en.wikipedia.org/wiki/Greater_Swiss_Mountain_Dog,"The Greater Swiss Mountain Dog (German: Grosser Schweizer Sennenhund or French: Grand Bouvier Suisse) is a dog breed which was developed in the Swiss Alps. The name Sennenhund refers to people called Senn or Senner, dairymen and herders in the Swiss Alps. Greater Swiss Mountain Dogs are almost certainly the result of indigenous dogs mating with large mastiff-type dogs brought to Switzerland by foreign settlers. It was assumed to have almost died out by the late 19th century, since its work was being done by other breeds or machines, but was rediscovered in the early 1900s.",greater swiss mountain dogs.jpg
Miniature Pinschers,https://en.wikipedia.org/wiki/Miniature_Pinscher,"The Miniature Pinscher, also known as the Zwergpinscher and Mini Pin, is a small breed of dog of the pinscher type originating in Germany. While the breed's visual similarities to the Toy Manchester Terrier, which somewhat resembles the Pinscher breeds, remain a matter of controversy, genetic research (published in 2017) has shown that the two breeds have shared, unique ancestry. The ancestors of the Toy Manchester and Miniature Pinscher may have become geographically separated many centuries ago and retained similarities simply through breeding selection for the same traits; nevertheless, the 2017 research also showed that the two breeds remain more closely related to each other than to other breeds. The breed's ancestors may also include the German Pinscher, Italian greyhounds and dachshunds. The Miniature Pinscher's known origins are in Germany, where it was often referred to as the Zwerg Pinscher (Dwarf Biter) in historical documents. German Kennel Club documents also refer to the Miniature Pinscher as the ""reh"" Pinscher, but this term is only used for a dog of stag-red color, ""reh"" referring to a small red deer formerly found in German forests. The Miniature Pinscher originated several centuries ago as an efficient barnyard ratter.",miniature pinschers.jpg
Lhasa Apsos,https://en.wikipedia.org/wiki/Lhasa_Apso,The Lhasa Apso ( LAH-sə AP-soh) is a non-sporting dog breed originating in Tibet. Traditionally the breed has been used as an interior watchdog.,lhasa apsos.jpg
Chinese Crested,https://en.wikipedia.org/wiki/Chinese_Crested_Dog,"The Chinese Crested Dog is a hairless breed of dog. Like most hairless dog breeds, the Chinese Crested Dog comes in two varieties, without hair and with hair, which can be born in the same litter: the hairless and the powderpuff.",chinese crested.jpg
Coton de Tulear,https://en.wikipedia.org/wiki/Coton_de_Tulear,"The Coton de Tuléar is a breed of small dog named for the city of Tuléar (also known as Toliara) in Madagascar. This breed is thought to have originated from a group of small white dogs that swam across the Malagasy channel following a shipwreck. Known for its cotton-like coat, the Coton de Tuléar typically grows to no more than 18 pounds (8.2 kg), and are white, sometimes with grey, tan, black, or tri-colored markings.",coton de tulear.jpg
Staffordshire Bull Terriers,https://en.wikipedia.org/wiki/Staffordshire_Bull_Terrier,"The Staffordshire Bull Terrier, also called the Staffy or Stafford, is a purebred dog of small to medium size in the terrier group that originated in the northern parts of Birmingham and in the Black Country of Staffordshire, for which it is named. They descended from 19th-century bull terriers that were developed by crossing bulldogs with various terriers to create a generic type of dog generally known as bull and terriers. Staffords share the same ancestry with the modern Bull Terrier, although the two breeds developed along independent lines, and do not resemble each other. Modern Staffords more closely resemble the old type of bull terrier, and were first recognised as a purebred dog breed by The Kennel Club of Great Britain in 1935.",staffordshire bull terriers.jpg
American Staffordshire Terriers,https://en.wikipedia.org/wiki/American_Staffordshire_Terrier,"The American Staffordshire Terrier, also known as the AmStaff, is a medium-sized, short-coated American dog breed recognized by the American Kennel Club, but not the United Kennel Club, which instead allows American Staffordshire Terriers to be registered under the American Pit Bull Terrier breed.",american staffordshire terriers.jpg
Rat Terriers,https://en.wikipedia.org/wiki/Rat_Terrier,"The Rat Terrier is an American dog breed with a background as a farm dog and hunting companion. They share much ancestry with the small hunting dogs known as feists. Common throughout family farms in the 1920s and 1930s, they are now recognized by the United (UKC) and American Kennel Clubs (AKC) and are considered a rare breed. Rat Terriers are an intelligent and active breed that can be kept both for pest control and as a family pet.",rat terriers.jpg
Chow Chows,https://en.wikipedia.org/wiki/Chow_Chow,"The Chow Chow is a spitz-type of dog breed originally from Northern China. The Chow Chow is a sturdily built dog, square in profile, with a broad skull and small, triangular, erect ears with rounded tips. The breed is known for a very dense double coat that is either smooth or rough.: 4–5  The fur is particularly thick in the neck area, giving it a distinctive ruff or mane appearance. The coat may be shaded/self-red, black, blue, cinnamon/fawn, or cream.: 4–5",chow chows.jpg
Anatolian Shepherd Dogs,,,
Basenjis,https://en.wikipedia.org/wiki/Basenji,"The Basenji () is a breed of hunting dog, originally created from stock that originated in Central Africa, including in the Republic of the Congo and other adjacent tropical African countries. The Fédération Cynologique Internationale places the Basenji in the Spitz and ""primitive types"" categories, while the American Kennel Club classifies it as a hound. The breed does not bark in the traditional manner of most dogs, rather vocalising in an unusual, yodel-like ""talking"" sound, due to its unusually-shaped larynx. This trait earns the Basenji its nickname of ""barkless"" dog, a similar feature seen and heard in the New Guinea singing dog.",basenjis.jpg
